HKL	          d	    F^2	  M	
[2,-3,-1]	 1.31365	 1734.38	  12
[2,3,-1]	 1.31365	 2525.40	  12
[-3,2,1]	 1.31365	 1734.38	  12
[3,-2,-1]	 1.31365	 1734.38	  12
[-3,-1,-5]	 1.30279	 1328.76	  12
[-1,-3,5]	 1.30279	 1328.76	  12
[1,3,-5]	 1.30279	 1328.76	  12
[3,1,5] 	 1.30279	 1328.76	  12
[-1,3,5]	 1.30279	 2649.89	  12
[1,-3,-5]	 1.30279	 2649.89	  12
[-3,1,5]	 1.30279	 2649.89	  12
[3,-1,-5]	 1.30279	 2649.89	  12
[-3,-2,2]	 1.29397	   39.05	  12
[-2,-3,-2]	 1.29397	   39.05	  12
[-2,3,-2]	 1.29397	   49.57	  12
[2,-3,2]	 1.29397	   49.57	  12
[2,3,2] 	 1.29397	   39.05	  12
[3,2,-2]	 1.29397	   39.05	  12
[-3,2,-2]	 1.29397	   49.57	  12
[3,-2,2]	 1.29397	   49.57	  12
[-2,-1,8]	 1.29162	  147.86	  12
[-1,-2,-8]	 1.29162	  147.86	  12
[1,2,8] 	 1.29162	  147.86	  12
[2,1,-8]	 1.29162	  147.86	  12
[-3,0,-6]	 1.28019	35144.10	   6
[3,0,6] 	 1.28019	35144.10	   6
[0,-3,-6]	 1.28019	35144.10	   6
[0,-3,6]	 1.28019	35144.10	   6
[0,3,-6]	 1.28019	35144.10	   6
[0,3,6] 	 1.28019	35144.10	   6
[-3,0,6]	 1.28019	35144.10	   6
[3,0,-6]	 1.28019	35144.10	   6
[-1,0,-10]	 1.25390	 3764.22	   6
[1,0,10]	 1.25390	 3764.22	   6
[0,-1,10]	 1.25390	 3764.22	   6
[0,1,-10]	 1.25390	 3764.22	   6
[-3,-2,-4]	 1.22327	  153.56	  12
[-2,-3,4]	 1.22327	  153.56	  12
[2,3,-4]	 1.22327	  153.56	  12
[3,2,4] 	 1.22327	  153.56	  12
[-3,2,4]	 1.22327	  501.75	  12
[-2,3,4]	 1.22327	  501.75	  12
[2,-3,-4]	 1.22327	  501.75	  12
[3,-2,-4]	 1.22327	  501.75	  12
[-1,1,10]	 1.21255	 3764.22	   6
[1,-1,-10]	 1.21255	 3764.22	   6
[-2,1,-9]	 1.19519	20358.68	  12
[-2,1,9]	 1.19519	20358.68	  12
[-1,2,-9]	 1.19519	20358.68	  12
[-1,2,9]	 1.19519	20358.68	  12
[1,-2,-9]	 1.19519	20358.68	  12
[1,-2,9]	 1.19519	20358.68	  12
[2,-1,-9]	 1.19519	20358.68	  12
[2,-1,9]	 1.19519	20358.68	  12
[-2,-3,-5]	 1.17725	 3858.47	  12
[2,3,5] 	 1.17725	 3858.47	  12
[-3,-2,5]	 1.17725	 3858.47	  12
[-3,2,-5]	 1.17725	 2649.89	  12
[-2,3,-5]	 1.17725	 2649.89	  12
[2,-3,5]	 1.17725	 2649.89	  12
[3,-2,5]	 1.17725	 2649.89	  12
[3,2,-5]	 1.17725	 3858.47	  12
[-4,0,2]	 1.17073	 1486.25	   6
[0,-4,-2]	 1.17073	 1486.25	   6
[0,4,2] 	 1.17073	 1486.25	   6
[4,0,-2]	 1.17073	 1486.25	   6
[-3,-1,7]	 1.16942	  126.89	  12
[-3,1,-7]	 1.16942	  253.04	  12
[-1,-3,-7]	 1.16942	  126.89	  12
[-1,3,-7]	 1.16942	  253.04	  12
[1,-3,7]	 1.16942	  253.04	  12
[1,3,7] 	 1.16942	  126.89	  12
[3,-1,7]	 1.16942	  253.04	  12
[3,1,-7]	 1.16942	  126.89	  12
[-2,2,8]	 1.16898	   37.67	   6
[2,-2,-8]	 1.16898	   37.67	   6
[-4,-1,0]	 1.15466	 1795.56	  12
[-1,-4,0]	 1.15466	 1795.56	  12
[1,4,0] 	 1.15466	 1795.56	  12
[4,1,0] 	 1.15466	 1795.56	  12
[-4,1,1]	 1.15013	  869.69	  12
[-1,4,1]	 1.15013	  869.69	  12
[1,-4,-1]	 1.15013	  869.69	  12
[4,-1,-1]	 1.15013	  869.69	  12
[0,-2,-10]	 1.14080	   39.82	   6
[0,2,10]	 1.14080	   39.82	   6
[-2,0,10]	 1.14080	   39.82	   6
[2,0,-10]	 1.14080	   39.82	   6
[-4,1,-2]	 1.13686	  666.02	  12
[-1,4,-2]	 1.13686	  666.02	  12
[1,-4,2]	 1.13686	  666.02	  12
[4,-1,2]	 1.13686	  666.02	  12
[-3,-3,0]	 1.12213	41596.63	   6
[3,3,0] 	 1.12213	41596.63	   6
[-3,3,0]	 1.12213	54863.89	   6
[3,-3,0]	 1.12213	54863.89	   6
[-4,0,-4]	 1.11759	11003.54	   6
[0,-4,4]	 1.11759	11003.54	   6
[0,4,-4]	 1.11759	11003.54	   6
[4,0,4] 	 1.11759	11003.54	   6
[-4,-1,-3]	 1.11572	 2168.73	  12
[-4,-1,3]	 1.11572	 2168.73	  12
[-1,-4,-3]	 1.11572	 2168.73	  12
[-1,-4,3]	 1.11572	 2168.73	  12
[1,4,-3]	 1.11572	 2168.73	  12
[1,4,3] 	 1.11572	 2168.73	  12
[4,1,-3]	 1.11572	 2168.73	  12
[4,1,3] 	 1.11572	 2168.73	  12
[-2,-1,-10]	 1.10939	  665.60	  12
[2,1,10]	 1.10939	  665.60	  12
[-1,-2,10]	 1.10939	  665.60	  12
[1,2,-10]	 1.10939	  665.60	  12
[-3,-1,-8]	 1.10430	  956.45	  12
[3,1,8] 	 1.10430	  956.45	  12
[-1,-3,8]	 1.10430	  956.45	  12
[1,3,-8]	 1.10430	  956.45	  12
[-3,1,8]	 1.10430	  147.86	  12
[-1,3,8]	 1.10430	  147.86	  12
[1,-3,-8]	 1.10430	  147.86	  12
[3,-1,-8]	 1.10430	  147.86	  12
[-2,-2,-9]	 1.09605	17037.68	  12
[2,2,9] 	 1.09605	17037.68	  12
[-2,-2,9]	 1.09605	17037.68	  12
[2,2,-9]	 1.09605	17037.68	  12
[-4,1,4]	 1.08802	 5116.83	  12
[4,-1,-4]	 1.08802	 5116.83	  12
[-1,4,4]	 1.08802	 5116.83	  12
[1,-4,-4]	 1.08802	 5116.83	  12
[-3,-3,-3]	 1.08629	    5.36	  12
[-3,-3,3]	 1.08629	    5.36	  12
[3,3,-3]	 1.08629	    5.36	  12
[3,3,3] 	 1.08629	    5.36	  12
[0,0,-12]	 1.08316	 5038.05	   2
[0,0,12]	 1.08316	 5038.05	   2
[-3,-2,-7]	 1.07608	  368.45	  12
[3,2,7] 	 1.07608	  368.45	  12
[-2,-3,7]	 1.07608	  368.45	  12
[2,3,-7]	 1.07608	  368.45	  12
[-3,2,7]	 1.07608	  253.04	  12
[-2,3,7]	 1.07608	  253.04	  12
[2,-3,-7]	 1.07608	  253.04	  12
[3,-2,-7]	 1.07608	  253.04	  12
[-4,2,0]	 1.06455	 2960.62	   6
[-2,4,0]	 1.06455	 2960.62	   6
[2,-4,0]	 1.06455	 2960.62	   6
[4,-2,0]	 1.06455	 2960.62	   6
[-4,-2,1]	 1.06099	 4234.90	  12
[4,2,-1]	 1.06099	 4234.90	  12
[-2,-4,-1]	 1.06099	 4234.90	  12
[2,4,1] 	 1.06099	 4234.90	  12
[-4,1,-5]	 1.05525	 1328.76	  12
[4,-1,5]	 1.05525	 1328.76	  12
[-1,4,-5]	 1.05525	 1328.76	  12
[1,-4,5]	 1.05525	 1328.76	  12
[-4,-2,-2]	 1.05055	  108.76	  12
[-2,-4,2]	 1.05055	  108.76	  12
[2,4,-2]	 1.05055	  108.76	  12
[4,2,2] 	 1.05055	  108.76	  12
[-2,4,-3]	 1.03380	 2485.76	  12
[2,-4,3]	 1.03380	 2485.76	  12
[-4,2,-3]	 1.03380	 2485.76	  12
[-4,2,3]	 1.03380	 2485.76	  12
[-2,4,3]	 1.03380	 2485.76	  12
[2,-4,-3]	 1.03380	 2485.76	  12
[4,-2,-3]	 1.03380	 2485.76	  12
[4,-2,3]	 1.03380	 2485.76	  12
[-2,-1,11]	 1.03318	 1734.38	  12
[-1,-2,-11]	 1.03318	 1734.38	  12
[1,2,11]	 1.03318	 1734.38	  12
[2,1,-11]	 1.03318	 1734.38	  12
[-1,-1,-12]	 1.03110	  621.92	  12
[1,1,12]	 1.03110	  621.92	  12
[-1,-1,12]	 1.03110	  621.92	  12
[1,1,-12]	 1.03110	  621.92	  12
[-2,2,-10]	 1.02876	   39.82	   6
[2,-2,10]	 1.02876	   39.82	   6
[-2,-3,-8]	 1.02469	    1.28	  12
[-2,3,-8]	 1.02469	  147.86	  12
[2,-3,8]	 1.02469	  147.86	  12
[2,3,8] 	 1.02469	    1.28	  12
[-3,-2,8]	 1.02469	    1.28	  12
[-3,2,-8]	 1.02469	  147.86	  12
[3,-2,8]	 1.02469	  147.86	  12
[3,2,-8]	 1.02469	    1.28	  12
[-4,-1,-6]	 1.01896	 1318.42	  12
[-4,-1,6]	 1.01896	 1318.42	  12
[-1,-4,-6]	 1.01896	 1318.42	  12
[-1,-4,6]	 1.01896	 1318.42	  12
[1,4,-6]	 1.01896	 1318.42	  12
[1,4,6] 	 1.01896	 1318.42	  12
[4,1,-6]	 1.01896	 1318.42	  12
[4,1,6] 	 1.01896	 1318.42	  12
[-4,-2,4]	 1.01164	  977.82	  12
[-2,-4,-4]	 1.01164	  977.82	  12
[2,4,4] 	 1.01164	  977.82	  12
[4,2,-4]	 1.01164	  977.82	  12
[-3,-3,-6]	 0.99639	26559.95	  12
[-3,-3,6]	 0.99639	26559.95	  12
[-3,3,-6]	 0.99639	35144.10	   6
[3,-3,6]	 0.99639	35144.10	   6
[3,3,-6]	 0.99639	26559.95	  12
[3,3,6] 	 0.99639	26559.95	  12
[-3,3,6]	 0.99639	35144.10	   6
[3,-3,-6]	 0.99639	35144.10	   6
[-4,-2,-5]	 0.98514	 6470.35	  12
[4,2,5] 	 0.98514	 6470.35	  12
[-2,-4,5]	 0.98514	 6470.35	  12
[2,4,-5]	 0.98514	 6470.35	  12
[-3,-1,10]	 0.98384	 7487.44	  12
[-3,1,-10]	 0.98384	  665.60	  12
[-1,-3,-10]	 0.98384	 7487.44	  12
[-1,3,-10]	 0.98384	  665.60	  12
[1,-3,10]	 0.98384	  665.60	  12
[1,3,10]	 0.98384	 7487.44	  12
[3,-1,10]	 0.98384	  665.60	  12
[3,1,-10]	 0.98384	 7487.44	  12
[-4,1,7]	 0.98054	  126.89	  12
[-1,4,7]	 0.98054	  126.89	  12
[1,-4,-7]	 0.98054	  126.89	  12
[4,-1,-7]	 0.98054	  126.89	  12
[-2,1,-12]	 0.96541	  621.92	  12
[-1,2,-12]	 0.96541	  621.92	  12
[-1,2,12]	 0.96541	  621.92	  12
[1,-2,-12]	 0.96541	  621.92	  12
